SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column;NO2_column;burden_AER;strat_burden_AER;wet_depos_AER;dry_depos_AER;strat_cond;strat_nuc;strat_evap
0.4000138;0.7834716;0.5076289;0.88133353;0.87104344;0.5390274;0.4066068;0.5102658;0.44715342;0.7019165;0.51092905;0.8904658;0.5801885;0.65913725;0.7006351;0.6322827;0.31732687;0.63268095;0.752411;0.8289871;0.51092905;0.79939985;0.15020113;0.14687596;0.24737723;0.6542699;0.4945382;0.62079495;0.38523614;0.5617355;0.60361856;0.6655197;1.4232076;1.1397463
0.7313115;0.919981;0.46018568;0.7789816;1.012085;0.8757061;0.65556794;0.42322573;0.48099008;0.75028986;0.5555999;1.1449761;0.70593494;0.5388557;0.5708149;0.57655007;0.2324445;0.5953643;0.67875737;0.7558697;0.5555999;0.7310709;0.22340386;0.21984714;0.17978881;0.6096004;0.5769523;0.5348703;0.31836122;0.5117177;0.6378119;0.6453465;1.4241716;1.3063458
0.89673245;1.0322888;0.5605823;0.8065016;1.1048162;1.0248054;0.799998;0.50641805;0.57338345;0.8251368;0.7163167;1.2576395;0.85133135;0.56671053;0.6647724;0.69638175;0.37177628;0.707262;0.67229795;0.76397;0.71631664;0.7544415;0.3540161;0.3576054;0.29588896;0.5233868;0.7363736;0.52943105;0.44820774;0.50399464;0.6414753;0.76901704;1.4315108;1.4848611
0.87610656;1.0592933;0.6502651;0.8336076;1.0987189;0.98123217;0.7943765;0.646492;0.5773415;0.8399543;0.7087966;1.2399672;0.8305345;0.69862545;0.8386271;0.74214154;0.56270766;0.801413;0.68234277;0.788782;0.7087966;0.7786287;0.43909875;0.4485073;0.47640342;0.6980361;0.81172115;0.56714094;0.6501385;0.53578985;0.7140639;0.8986768;1.4207159;1.3671619
0.6200574;0.9240446;0.59768206;0.755702;0.96762;0.6867059;0.57563525;0.6572672;0.4782311;0.75065863;0.69788784;1.129941;0.63817966;0.6470964;0.8715615;0.683587;0.5404819;0.719348;0.64638263;0.7320373;0.69788784;0.7242224;0.42367986;0.43219358;0.4705516;0.8648838;0.7745769;0.55175066;0.6492128;0.54482746;0.76940477;0.8539789;1.4206837;1.2283299
0.23273584;0.63738155;0.4993804;0.68872446;0.63858306;0.221145;0.28213233;0.4927845;0.43459165;0.58461356;0.62744856;0.7755204;0.4856183;0.5820173;0.6884311;0.5941389;0.3582638;0.63046825;0.60531133;0.66972846;0.6274485;0.66136396;0.29254377;0.29519606;0.40165082;0.9579671;0.74171525;0.4787966;0.59999317;0.46545774;0.67875946;0.66919816;1.4230863;1.0765952
0.4029069;0.6190695;0.4138282;0.6811643;0.6820982;0.5231868;0.3836739;0.37473863;0.41907328;0.50399226;0.49049604;0.820276;0.50516844;0.52457625;0.5835996;0.54842126;0.22765094;0.505256;0.5796404;0.6313625;0.49049607;0.61428535;0.14252405;0.13718398;0.27298787;0.9299651;0.6659142;0.50340325;0.4817451;0.50680834;0.6907165;0.7109121;1.304608;0.9268738
0.7483951;0.7775374;0.52066386;0.83030844;0.81362057;0.8759099;0.67154896;0.49170953;0.46575913;0.6876868;0.55802226;1.0416553;0.63507843;0.6504495;0.66975045;0.68133473;0.2754792;0.62617064;0.62639624;0.70954365;0.55802226;0.6832443;0.23271176;0.23148206;0.17252247;0.67527324;0.5699492;0.5771842;0.32176253;0.57933027;0.8470653;0.8731121;1.2923927;0.911084
0.9043885;0.869279;0.6018691;0.8297581;0.9003103;1.0209624;0.8127893;0.60777706;0.4936515;0.79763716;0.6305208;1.1112086;0.68902665;0.6862609;0.8014761;0.6993494;0.39238706;0.70588803;0.63256866;0.72924995;0.6305209;0.7063896;0.39192438;0.39203295;0.26010403;0.51548725;0.597242;0.5703505;0.3998976;0.5686931;0.86562675;0.846795;1.2676009;0.6255653
0.8329891;0.88785106;0.68772286;0.890909;0.91918594;0.9379119;0.7383297;0.65402573;0.48795182;0.79896057;0.7828314;1.0790939;0.6410633;0.7365005;0.8094962;0.79212683;0.46415633;0.70236766;0.69569004;0.77628285;0.7828314;0.7588606;0.4570783;0.4598709;0.38850984;0.51272434;0.60590273;0.49944004;0.5872506;0.4650764;0.7240074;0.7136254;1.3241824;1.2872776
