SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column;NO2_column;burden_AER;strat_burden_AER;wet_depos_AER;dry_depos_AER;strat_cond;strat_nuc;strat_evap
234.52357;-50.308517;-232.86488;27.116718;-23.191797;1.6586941;158.72426;-53.239067;-84.54327;-19.515762;-0.7055138;0.72064793;0.9380463;63.161358;65.88286;27.448832;26.421104;1.0517644;1.8668494;2.918614;0.18266822;2.7359457;288.84314;288.09036;15090.793;309.27402;4.6286755;1.3034579e-06;2.5381948e-07;0.024245365;0.11507588;0.589235;0.0059309816;0.16950098
235.38287;-51.513767;-232.37225;27.003029;-24.510738;3.0106287;159.28325;-52.72437;-83.84542;-19.855452;-0.7431582;2.1148467;0.8957818;63.926453;65.37507;27.768019;26.1974;1.062895;1.8305339;2.8934288;0.19241495;2.701014;288.40033;287.62717;15224.762;309.88144;4.2178407;1.3376937e-06;2.2649634e-07;0.0260261;0.13067506;0.6578098;0.005997715;0.21396248
235.32324;-51.66259;-232.4298;27.171139;-24.491453;2.8934546;159.21487;-52.549725;-84.265335;-19.792622;-0.738344;1.8688527;1.0246017;63.863487;65.502716;27.936947;26.41338;1.0693498;1.8361272;2.9054768;0.19116849;2.7143085;288.4896;287.7246;15046.515;304.73538;4.0520253;1.3253854e-06;2.0921101e-07;0.026209736;0.13036364;0.6474301;0.00850942;0.43186805
235.09381;-51.677914;-232.57346;27.031582;-24.646334;2.5203652;158.94746;-52.43366;-84.589584;-19.605127;-0.7448357;1.5742553;0.94610983;63.660736;66.41809;27.797415;26.549082;1.069971;1.8462906;2.9162617;0.19284928;2.7234123;288.5114;287.75244;15013.483;302.81223;3.9678202;1.3140279e-06;2.1127137e-07;0.025962273;0.1298678;0.6168561;0.0076952777;0.29715782
235.38087;-51.49681;-232.66808;27.064962;-24.43185;2.7128105;159.4027;-52.657124;-84.67327;-19.6909;-0.73049945;1.6508877;1.0619227;63.502754;66.19457;27.866262;26.458347;1.0754082;1.8453538;2.920762;0.18913741;2.7316246;288.58905;287.82605;14983.661;298.06427;4.0064225;1.3196247e-06;2.1213495e-07;0.026074046;0.1301228;0.6127814;0.007827251;0.37113717
235.03154;-51.84199;-232.66698;27.075811;-24.76618;2.3645568;159.08504;-52.770706;-84.11302;-19.771381;-0.76578087;1.6641577;0.70039904;63.6038;66.28086;27.933668;26.41108;1.0762463;1.8268871;2.9031334;0.1982723;2.7048612;288.5744;287.8113;15010.92;299.90985;3.9616845;1.3312615e-06;2.1743922e-07;0.026126033;0.13006315;0.64076215;0.006653556;0.24877128
235.60297;-51.26556;-232.65263;26.982561;-24.282997;2.9503307;159.76955;-53.053776;-84.10692;-19.99257;-0.7493677;1.8669075;1.0834233;63.568947;64.74915;27.712114;26.237997;1.0626687;1.8360473;2.898716;0.19402269;2.7046933;288.56354;287.7845;15003.582;299.00986;4.0127864;1.3287532e-06;2.183058e-07;0.026078537;0.12843211;0.6054509;0.006483649;0.3430793
235.10052;-51.81064;-232.31906;26.972496;-24.838142;2.7814686;159.1294;-52.748234;-83.86849;-19.742332;-0.7617648;2.008581;0.77288777;63.73642;65.76503;27.818693;26.16361;1.0711939;1.8231096;2.8943036;0.19723248;2.697071;288.487;287.70062;15063.639;299.90402;4.017431;1.3289357e-06;2.1991296e-07;0.026015723;0.12916845;0.6191763;0.0064086206;0.23966439
235.70433;-50.996323;-232.54715;26.777857;-24.218466;3.1571891;159.97078;-53.13342;-84.381355;-19.674255;-0.76745445;2.0143044;1.1428846;63.172314;64.54789;27.681402;26.028341;1.0580817;1.8525131;2.9105947;0.19870561;2.7118893;288.43524;287.65726;15126.3;298.9595;4.076859;1.3285983e-06;2.1993489e-07;0.026082924;0.12951005;0.5980619;0.006330171;0.34285337
235.19542;-51.465096;-231.97104;27.077976;-24.38712;3.2243812;159.17374;-52.527523;-84.09991;-19.444458;-0.7494018;2.3524466;0.87193453;63.91903;65.752144;27.891634;26.333162;1.0710081;1.82978;2.900788;0.19403152;2.7067566;288.46317;287.69263;15051.069;301.50772;4.0289583;1.3284123e-06;2.229995e-07;0.025990592;0.13016713;0.6386413;0.0071322024;0.2670258
235.0277;-51.667057;-232.71167;26.755903;-24.911154;2.3160338;158.86638;-52.27414;-84.90277;-19.404163;-0.7432497;1.5420599;0.77397394;63.368553;66.418335;27.711033;26.656832;1.0805488;1.8479582;2.928507;0.19243865;2.7360682;288.58707;287.83694;14919.301;299.39;4.013926;1.3493304e-06;2.2358094e-07;0.02606244;0.12781426;0.6489941;0.007979368;0.26443568
