SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column;NO2_column;burden_AER;strat_burden_AER;wet_depos_AER;dry_depos_AER;strat_cond;strat_nuc;strat_evap
234.03542;-50.77636;-232.82437;27.016718;-23.75964;1.2110467;157.91936;-52.46552;-84.48022;-19.610413;-0.70648193;0.6567301;0.5543166;63.69395;66.82429;27.402132;26.697062;1.059021;1.8637043;2.9227254;0.1829189;2.7398064;288.8697;288.10257;15130.597;308.5978;5.9247017;1.8018627e-06;2.6895114e-07;0.03687785;0.054057315;0.7239928;3.8981758e-05;0.39351016
235.76129;-51.238693;-232.22409;26.917461;-24.321232;3.5371902;159.64249;-52.790184;-84.02123;-19.587965;-0.7335663;2.509541;1.0276492;63.785713;65.50769;27.579401;26.283972;1.0458775;1.8509827;2.8968601;0.18993145;2.7069287;288.47842;287.70972;15279.117;310.768;5.826397;1.8850521e-06;2.4813164e-07;0.03984271;0.060480595;0.84570223;0.0003733747;0.3726792
235.19373;-51.755207;-232.08292;27.0693;-24.685905;3.110816;158.96408;-52.36217;-83.9323;-19.723904;-0.7476083;2.198105;0.9127109;64.19897;66.23439;27.782;26.354479;1.0625435;1.8334199;2.8959634;0.19356714;2.7023964;288.4852;287.6944;15290.669;309.3038;5.6558275;1.8509606e-06;2.3246473e-07;0.039895184;0.06262837;0.81569254;0.00047061348;0.62277436
235.28886;-51.559555;-232.35205;26.907122;-24.652433;2.9368093;158.98969;-52.283394;-84.380745;-19.669304;-0.73734367;1.9188899;1.0179194;63.71151;66.44122;27.763105;26.551725;1.0725685;1.8367146;2.9092832;0.19090949;2.7183735;288.53992;287.7696;15238.724;310.90732;5.592036;1.853558e-06;2.3658107e-07;0.0399863;0.06455914;0.81875813;0.00022051769;0.5782021
235.14732;-51.74718;-232.07045;27.067583;-24.6796;3.0768619;158.95413;-52.43981;-83.657715;-19.877766;-0.73758125;2.24126;0.8356018;63.73601;66.55293;27.89224;26.35352;1.0613458;1.8259816;2.8873274;0.19097099;2.6963565;288.54025;287.7536;15253.85;308.1525;5.6112127;1.8545504e-06;2.3788972e-07;0.0397854;0.061519083;0.87380207;0.00017701331;0.68209195
235.03569;-51.900787;-232.30476;26.974287;-24.926498;2.7309287;158.75731;-52.38521;-83.78917;-19.855297;-0.7327804;1.9948561;0.7360725;63.674473;66.69519;27.82601;26.474682;1.0658315;1.8271332;2.8929648;0.18972799;2.7032368;288.59427;287.81805;15250.399;308.79184;5.6467285;1.8618094e-06;2.3928325e-07;0.03995354;0.061993178;0.7983761;7.3718e-05;0.45181453
235.35965;-51.513683;-232.12752;26.714283;-24.799402;3.232132;159.16252;-52.38583;-84.17076;-19.574497;-0.7421589;2.289275;0.94285697;63.469177;65.93791;27.675903;26.42811;1.0628481;1.8399149;2.9027631;0.19215623;2.7106068;288.46475;287.68082;15224.054;307.4603;5.6239944;1.8618503e-06;2.3809208e-07;0.03996274;0.06264375;0.76569766;4.5937428e-05;0.51727945
235.18463;-51.654026;-232.26479;26.648125;-25.0059;2.9198442;158.9929;-52.56521;-83.80903;-19.786703;-0.7340487;2.0979116;0.8219325;63.451973;66.25887;27.633566;26.259607;1.0677134;1.8259877;2.893701;0.19005637;2.7036448;288.4644;287.69852;15300.714;310.35367;5.552365;1.8633168e-06;2.4075442e-07;0.03996381;0.06275196;0.7999066;0.00020174452;0.5470008
235.93022;-50.95393;-232.29166;26.549366;-24.404564;3.6385586;159.87381;-52.953957;-84.11651;-19.541985;-0.7396383;2.5217261;1.1168323;63.085487;65.29922;27.329773;26.19418;1.0530618;1.8470788;2.9001405;0.1915036;2.708637;288.48593;287.72784;15312.849;307.98157;5.6149335;1.8674212e-06;2.432899e-07;0.03974784;0.060549494;0.8427177;0.00043806288;0.6761971
235.35573;-51.312786;-231.87474;26.826584;-24.4862;3.4809835;159.07953;-52.278133;-83.93288;-19.503912;-0.75634295;2.6082625;0.872721;63.793533;65.94551;27.691172;26.529852;1.0698831;1.8261112;2.8959942;0.19582868;2.7001655;288.5269;287.75784;15231.271;307.97385;5.63375;1.8540447e-06;2.3993195e-07;0.039761733;0.062497098;0.795891;8.617957e-05;0.5060457
234.93465;-51.806553;-232.1772;26.70357;-25.102985;2.7574399;158.43587;-51.885006;-84.2933;-19.247412;-0.7408475;2.269306;0.48813397;63.49179;67.35844;27.67083;26.737078;1.0767946;1.834242;2.9110365;0.19181669;2.71922;288.59772;287.8298;15176.021;309.67877;5.564572;1.8495726e-06;2.411713e-07;0.038986303;0.062152795;0.8313034;0.00092184846;0.3289655
