SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column
0.39688033;0.7751973;0.5513337;0.9489501;0.8494568;0.530841;0.39652947;0.4416534;0.45945722;0.68172437;0.49922037;0.9050673;0.5827381;0.64740694;0.6351063;0.66000366;0.33506864;0.5766699;0.8415257;0.9072657;0.49922037;0.877231;0.14951366;0.14226863;0.23087649;0.6214067
0.7371976;0.92557806;0.4510013;0.761973;1.0293943;0.8779204;0.6660656;0.4328131;0.493214;0.7416841;0.527972;1.1484578;0.7293693;0.5171345;0.63471264;0.573943;0.22940502;0.58878154;0.6395598;0.7295159;0.527972;0.7070846;0.23250799;0.22790177;0.19086373;0.5427005
0.89537835;1.031299;0.5464658;0.75790673;1.1003222;1.0197004;0.79490465;0.5114114;0.5683053;0.79113364;0.6691953;1.2499725;0.83416814;0.5638711;0.6550946;0.66609585;0.38046122;0.7265291;0.60857564;0.72094;0.6691953;0.7125831;0.3646932;0.36907396;0.2951913;0.4911018
0.8579384;1.0644062;0.63000983;0.8299986;1.094608;0.9612933;0.77061206;0.6173447;0.5393181;0.79685795;0.6933931;1.2306694;0.79215837;0.6555243;0.8353615;0.7299719;0.5258223;0.79025775;0.6562482;0.7450053;0.69339305;0.73811024;0.43357483;0.4415196;0.42525148;0.7014402
0.6142963;0.94120616;0.618589;0.8183798;0.9640956;0.68101126;0.5699454;0.5896707;0.47560456;0.7126758;0.6712654;1.1263386;0.6364283;0.68156314;0.8205873;0.71353924;0.5163262;0.75781864;0.6885589;0.76620823;0.6712654;0.75704384;0.4031827;0.41021207;0.48646432;0.92617023
0.23111264;0.6392561;0.5065037;0.7182352;0.6340944;0.23177063;0.27591458;0.5023294;0.42246094;0.5506958;0.6373398;0.8058839;0.4993212;0.58480257;0.6855499;0.63615745;0.40267268;0.6401715;0.6389749;0.6901249;0.6373398;0.6753262;0.28644514;0.2896356;0.44698092;1.0396211
0.39916146;0.58542705;0.34637377;0.6119212;0.6672323;0.5173333;0.3805397;0.381573;0.42324647;0.5285291;0.51231647;0.8011253;0.50655544;0.48004305;0.55719763;0.5035141;0.21596695;0.5612932;0.5206208;0.5767717;0.51231647;0.55905694;0.13239905;0.124559216;0.27205923;0.9810867
0.7436508;0.8002331;0.5320151;0.8975921;0.8154947;0.8771961;0.6723551;0.5331185;0.50762975;0.7000075;0.535188;1.0308626;0.68024075;0.6907783;0.75443965;0.7036396;0.28113192;0.69635284;0.66439897;0.7697942;0.53518796;0.7411968;0.24480164;0.24362724;0.24217221;0.7448223
0.8962895;0.86779046;0.61466426;0.8846795;0.8901795;1.0152571;0.8031109;0.6097133;0.5371086;0.82165337;0.6433007;1.1188498;0.70893365;0.6789984;0.7519015;0.7294345;0.39645138;0.7271216;0.6427434;0.76063675;0.6433007;0.73410285;0.38109738;0.38128293;0.27123833;0.40908733
0.8337968;0.8883575;0.68714917;0.91981745;0.91667426;0.943887;0.7464222;0.6668632;0.5034919;0.8226115;0.7801098;1.0835711;0.67187715;0.7581285;0.8424081;0.7843974;0.49651888;0.7428897;0.73902935;0.8293372;0.7801098;0.808101;0.43233088;0.43293765;0.36440954;0.50892407
