SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column
234.16339;-50.59875;-233.03708;27.029575;-23.569174;1.1263057;158.30106;-53.150272;-84.17079;-19.732666;-0.73836935;0.5089506;0.61735517;63.329716;65.57927;27.529398;26.38563;1.0604364;1.8494837;2.9099202;0.19117504;2.7187452;288.818;288.0558;15024.822;308.8384
235.55307;-51.461983;-232.56088;26.975836;-24.486145;2.9921832;159.44243;-52.82717;-84.17949;-19.681479;-0.7409048;2.013388;0.97879535;63.40196;65.072716;27.790257;26.254154;1.0603633;1.8408233;2.9011865;0.19183151;2.709355;288.4454;287.67535;15065.714;307.91727
235.21843;-51.82652;-232.32951;27.294348;-24.532171;2.8889222;159.18921;-52.600803;-83.90892;-20.015135;-0.7547282;1.9096249;0.9792973;64.00979;65.56574;27.897675;26.264788;1.0692334;1.8248338;2.894067;0.1954106;2.6986566;288.5119;287.72415;15036.101;301.6015
235.25056;-51.63086;-232.73557;27.12718;-24.50368;2.5150023;159.17744;-52.61239;-84.45942;-19.76866;-0.7256262;1.6113577;0.9036446;63.581482;66.08335;27.889805;26.400808;1.0694083;1.8441757;2.913584;0.18787563;2.7257085;288.59232;287.81775;14972.762;301.34003
234.77815;-51.99055;-232.255;27.26514;-24.725409;2.523153;158.7475;-52.403683;-84.22041;-19.78607;-0.74825054;1.5890833;0.93406963;63.974396;66.51325;27.94423;26.36587;1.0739712;1.8325182;2.9064894;0.19373344;2.712756;288.4825;287.71417;14992.985;299.1378
234.78642;-51.97477;-232.51791;27.171165;-24.803604;2.268511;158.78021;-52.316223;-84.75057;-19.47439;-0.7412952;1.4977398;0.77077115;63.793514;66.75839;27.985916;26.48625;1.0891812;1.8371588;2.9263399;0.19193259;2.7344074;288.55594;287.7809;14874.418;295.2816
235.65746;-51.150654;-232.81941;27.06562;-24.085032;2.8380494;159.98047;-53.1655;-84.47392;-19.861753;-0.7385242;1.7407664;1.097283;63.312332;64.838776;27.725876;26.206276;1.063004;1.8490301;2.9120343;0.19121514;2.720819;288.6128;287.8439;14871.744;294.52582
234.77386;-51.892788;-232.43504;26.979809;-24.91298;2.3388195;158.94574;-52.599842;-84.223885;-19.731583;-0.75514585;1.6352782;0.7035412;63.769726;66.08865;27.740314;26.145357;1.0651827;1.8433614;2.908544;0.19551873;2.7130253;288.4797;287.69736;14926.541;294.3174
235.74205;-50.851353;-232.68665;26.701649;-24.149706;3.0554035;160.07938;-53.227753;-84.184;-19.855154;-0.75832796;2.0541368;1.0012666;63.097385;64.0418;27.528038;26.003723;1.0473593;1.8555648;2.9029243;0.19634262;2.7065816;288.40787;287.62885;15055.164;297.06204
235.45328;-51.02918;-232.27802;27.067478;-23.9617;3.1752632;159.68288;-52.876236;-84.30864;-19.679897;-0.764004;2.0541003;1.1211628;63.533634;64.67441;27.839327;26.402546;1.0654902;1.8402774;2.9057677;0.19781224;2.7079556;288.50354;287.7429;14872.349;292.46466
234.79218;-51.68959;-232.68243;26.847544;-24.842047;2.1097407;158.7017;-52.19061;-85.10873;-19.336407;-0.75376964;1.3121854;0.7975553;63.50527;67.13158;27.80124;26.740095;1.0924007;1.8435711;2.9359717;0.19516242;2.7408092;288.47632;287.7348;14785.055;297.29752
